emoji,keywords_ka,keywords_en
😊,ღიმილი|გამარჯობა|ბედნიერება|ჩემო კარგო|ბედნიერი|მადლობა|არამიშავს|არაუშავს|არაფერს|არაფრის|თბილი ღიმილი|კარგად|კარგად ვარ|როგორ ხარ|სიხარული|სიწითლე|მორცხვი|როგორ ხართ|სიხარულის ცრემლები|საყვარელი|ბიძაშვილი|გმადლობ|დეიდაშვილი|კარგი|მამიდაშვილი|მორცხვი ღიმილი|ჰო|თბილი|დილა მშვიდობისა|მასპინძელი|მეგობარი|სასამოვნო ნიავი|შერიგება|კმაყოფილება|სითბო,smiling face with smiling eyes|happy|blush|smile|shy|blushing|cheeks|emotions|enjoying|pleasant|pleasing|ur welcome|you're welcome|nice|great|radiant|good|thank you|thanks|cute|anytime|fine|greeting|warm|proud|quokka|uwu|no problem|selfie|sure|flush|wholesome|eye|liking|accepting|easy|of course|pretty|face
😇,ანგელოზი|წმინდანი|უდანაშაულო|უმანკო|კაი ტიპი|სამოთხე|მე არაფერ შუაში ვარ|კეთილი|კარგი,smiling face with halo|angel|saint|innocent|halo|archangel|miracles|honesty|good|good boy|face|pure|fantasy|blessed
🥰,სიყვარული|საყვარელი|გიჟდები|საყვარელო|შეყვარებული სახე|სითბო|ბედნიერი|გულები|მიყვარხარ|შეყვარებული|გული|მადლიერი|მზრუნველობა,smiling face with hearts|love|hearts|cute|affection|darling|darlings|sweethearts|warmth|in love|loving|dear|warm feeling|smiling face with three hearts|heart eyes|adore|perfect|beautiful|lovely|uwu|wholesome|crush|sweet|caring
😍,სიყვარული|გულებიანი თვალები|მოხიბლული|ვაფრენ|ლამაზი|სიმპათია|თვალებიდან გულები|მიყვარს|ვაუ|გაფანატება|მიყვარხარ|შოკი|აღფრთოვანება|მიმზიდველი,smiling face with heart-eyes|love|heart eyes|loving|crush|adoration|love you|loved|love eyes|gorgeous|crushing|eye|omg|emotions|face|infatuation|smile
🤩,საოცრება|ვარსკვლავები თვალებში|საოცრად|შეუდარებელი ხარ|აღფრთოვანებული|გაოცებული|შოკი|ვარსკვლავები|აღფრთოვანება|საოცარი|ვარსკვლავი|ფანი|ფასდაკლება|ვაუ|ვარსკვლავებიანი თვალები|შთამბეჭდავი,star-struck|excited|awesome|star struck|amazing|wow|hyped|enthusiasts|marvels|star eyes|wonders|highkey|sparkle|starstruck|celebrity|eyes|glowing|face|amazed|grinning|fascinated|star|impressed
😘,კოცნა|გკოცნი|მიყვარხარ|საჰაერო კოცნა|სიყვარული|ჰაეროვანი კოცნა|პაკა|კოცნის გაგზავნა|საყვარელი|ჩემო ლამაზო|მფრინავი კოცნა|რომანტიკა,face blowing a kiss|kiss|kissing heart|kissing|flirt|loving|love|muah|blow kiss|bye|love you|loved|blowing kiss|face|affection|smooch
😗,კოცნა|ტუჩების მოკუმშვა|მშვიდი|კოცნის იმიტაცია|სტვენა|ჩაფიქრებული|მეგობრული კოცნა|სიმპათია,kissing face|kiss|kissing|whistle|lips|face|casual|chill|duck face
☺️,მომღიმარი სახე|სიწითლე|თბილი|მორცხვი ღიმილი|კლასიკური|მორცხვობა|კოცნა|საყვარელი|სასიამოვნო ღიმილი|მორცხვი|მშვიდი,smiling face|blush|smiling|warm|relaxed|smile|happy|classic smile|shy|cute|pleased|sweet|face|outlined|calm|content
😚,კოცნა დახუჭული თვალებით|სიყვარული|თვალდახუჭული კოცნა|საყვარელი|კოცნა|მორცხვი|რომანტიკული,kissing face with closed eyes|kissing closed eyes|kiss|romance|love|kiss close eyes|cute|closed|romantic|eye|blush|face|affection
😙,კოცნა მომღიმარი თვალებით|სითბო|მომღიმარი კოცნა|ნაზი|კოცნა|თბილი|მადლობა|მხიარული კოცნა|მეგობრული,kissing face with smiling eyes|kissing smiling eyes|warm|kiss|love|kissing|gentle|cute|eye|face|happy|sweet|friendly|smile
🥲,მომღიმარი ცრემლით|სევდიანი სიხარული|ემოციური|ცრემლიანი ღიმილი|ტკივილის ატანა|ტირილი სიცილით|გაძლება|ტკივილი|გული მეწვის|სევდიანი ღიმილი|სიამაყე|ამაყი,smiling face with tear|proud|smiling tear|sad happy|emotional|relief|sad smile|smiling through tears|grateful|pain|sad laugh|harold|relieved|fml|smiling|crying inside|tear|touched|smiling with tear
😋,გემრიელი|ჭამა|გემო|ხრაშუნა|გემრიელი საჭმელი|გემრიელია|ენის გამოყოფა|საჭმელი|შიმშილი|კარტოფილი ფრი|გურმანი|ნაყინი ჭიქაში|პიცა|შაურმა|შოკოლადი|ამპიპი|იმერული ხაჭაპური|ლობიანი|მარილიანი პური|ნესვი|ტარხუნის ღვეზელი|შაშხი|შოკოლადის ნაყინი|ჩურჩხელა|ცივი საზამთრო|ხაჭაპური|ხინკალი,face savoring food|hungry|yum|delicious|eating|tongue|tasting|tasty|food|pizza|ням ням|lick|fanum tax|yummy|face|foodie|savouring|smile
😛,ენის გამოყოფა|ხუმრობა|თამაში|მაიმუნობა|ენა|გამასხარავება|სულელური|ცელქი,face with tongue|silly|tongue|playful|joke|stuck out tongue|tongue out|face|tease|cheeky
😜,ხუმრობა|გიჟი|თვალის ჩაკვრა და ენა|ტროლი|ცელქი|ენის გამოყოფა|გაშაყირება|მხიარული ხუმრობა|გიჟური,winking face with tongue|silly|wink|stuck out tongue winking eye|crazy|joke|flirt|troll|winking tongue|sarcasms|prank|playful|goofy|eye|winky tongue|face|just kidding|lmao|jk|tongue|wacky
🤪,გიჟი|სულელი|გიჟური|გიჟური სახე|სიგიჟე|მხიარულება|გარეკვა|კაიფი|სკებიდი|ტვინის ნაჭამი|გაგიჟება|შიზო|აფრენა|სულელური|მხიარული|თავზეხელაღებული,zany face|silly|crazy|tripping|insane|goofy|delulu|lunatics|madmen|maniacs|psychos|dumb|foolish|asylums|wild|crooked|zany|wacky|psycho|eye|derp|drunk|selfie|large|small
😝,მჟავე|მოჭუტული თვალები და ენა|გაბრაზებული ხუმრობა|თვალების დახუჭვა და ენა|ბავშვური|ენა|ფუი|ხუმრობა|მაგრად დახუჭული თვალები და ენა|სიცილი|ზიზღი|სასაცილო,squinting face with tongue|stuck out tongue squinting eye|silly|fun|mock|tease|squinting tongue|playful|stuck out tongue closed eyes|annoying|tongue|horrible|prank|eye|gross|taste|face|funny
🤑,მდიდარი|ფული|სიმდიდრე|გამდიდრება|დოლარი|ბიზნესი|მწვანეები|ფულიანი სახე,money-mouth face|rich|money mouth|wealth|dollar|cash|money|money face|money mouth face|flex|greedy|clout|face|bag|mouth
🤗,ჩახუტება|გენაცვალე|მზრუნველობა|ნუგეში|ჩემო თბილო|მეგობრული|მოკითხვა|თბილი მოკითხვა|მადლობა|გულთბილი|საჩუქრების გახსნა|თბილი|მისალმება,smiling face with open hands|hug|hugging|welcome|warmth|friendly|hugs|jazz hands|face|wholesome|cute|greeting|warm|welcoming|open hands|embrace|smiling face
🤭,ხელის აფარება პირზე|ჩუმად სიცილი|საიდუმლო|პირზე ხელის აფარება|ჩაცინება|ოპს|სიცილის შეკავება|ოპაა|უხერხული|პირზე ხელაფარებული|ჩუმი სიცილი|უხერხულობა,face with hand over mouth|hand over mouth|giggle|oops|secret|gasp|teehee|quiet|sneaky|whoops|laugh
🫢,გაოცება|შიში|პირი ღია|ხელის აფარება|შოკი|პირზე ხელის აფარება|ოპა|ვაიმე|წამომცდა|გაკვირვებული|პირზე ხელი|შეშინებული,face with open eyes and hand over mouth|gasp|shock|disbelief|surprise|shocked|surprised|amazement|awe|oops|open eyes hand over mouth|embarrass|scared|omg
🫣,კრინჟი|თვალთვალი|ქრინჯაობა|შიში|თითებს შორის ყურება|თვალის გაპარება|ცნობისმოყვარეობა|ცალი თვალით|თვალებზე ხელაფარებული|ვაიმე|სირცხვილი|უშნო|შეშინებული|მორცხვი|ცნობისმოყვარე,face with peeking eye|shy|scared|hiding|peeking eye|peering|cringe|sus|lowkey|staring|crushing|flush|exposing|peeking|revealing|nervous|curious|captivated|again|hide|omg|blushing|glancing|peep|glimpsing|confessing|surprised|stare|peek
🤫,საიდუმლო|სიჩუმე|გაჩუმება|ჩუმი|ჩურჩული|წყნარი|ჩუმად|სიგმა|ჭორი|გაჩუმდი|შშშ|ბიბლიოთეკა|ჭორაობა|ჩშშ,shushing face|informer|lowkey|silence|quiet|secrets|whispering|mewing|mute|shushing|shut up|whisper|rumors|librarians|gossip|impostors|secret|hints|mime|shh|gatekeep|silent|shush|stfu
🤔,ფიქრი|ეჭვი|ალბათ|რა ხდება|მერე|შეიძლება|დაფიქრება|ჰმ|ინტელექტუალი|არ ვიცი|კითხვა|მოფიქრალი|რას აკეთებ|იდეა|ანალიზი,thinking face|philosopher|thinking|feeling|philosophers|riddles|thinkers|confused|question|deciding|enigmas|feelings|think|thoughts|ponder|hmm|doubting|maybe|hm|choosing|reasons|skeptical|suspicious|asking|pacing|excuse me|tbh|tryna|wondering|don't know|paradoxes|face|pondering|idea
🫡,სალამი|პატივისცემა|მიღებულია|ჰიმნი|გასაგებია|რესპექტი|იეს სერ|ჯარი|თანხმობა|ჯარისკაცი,saluting face|colonel|corporal|general|lieutenant|major|patriot|private|recruit|sergeant|salute|commanders|respect|commander|saluting|marshals|military|thumbs up|yes sir|ok|captains|soldier|veteran|got it|sunny|bet|captain|troops|honor|yes
🤐,ელვა|საიდუმლო|გაჩუმებული|ელვა შესაკრავი|ენა კბილებს შორის|დუმილი|პირის აკვრა|გაჩუმება|საიდუმლო შევინახე|პირზე ბოქლომი|ელვაშესაკრავიანი პირი|ჩუმად,zipper-mouth face|mute|dumb|mumble|zipper mouth|silent|secret|lowkey|shut up|shutup|zipped|zipped mouth|sealed|zipper mouth face|secrets|zip|silence|hush|tight|quiet|face|stfu|concealing|dictators|mouth|lips sealed|zipper
🤨,ეჭვი|ეჭვი შეტანა|ეჭვიანობა|მართლა|სერიოზულად?|უცნაური|წარბის აწევა|უნდობლობა|ეჭვიანი მზერა|მართლა?|რაო|რას ბოდავ|ძმობას ფიცავარ|წარბაწეული|გაურკვევლობა|სკეპტიკური,face with raised eyebrow|sus|confused|raised eyebrow|seriously|suspicious|doubting|questioning|suspecting|wtf|skeptical|huh|really|🤨|rock eyebrow|wait|bruh|caught in 4k|excuse me|distrust|hold on|waiting|doubt|skeptic|hmm
😐,გულგრილი|ისე რა|ნეიტრალური|ნპც|უემოციო|სერიოზული|სახე არ მაქვს|უნერწყვო|რა არი ეს|სერიოზულად|ემოციის გარეშე|მოსაწყენი|ჩვეულებრივი,neutral face|bruh|meh|neutral|mid|indifferent|poker face|no comment|pokerface|seriously|deadpan|npc|expressionless|face|blank|straight face
😑,უემოციო|მოწყენილი|კომენტარის გარეშე|დავიღალე შენით|გულგრილი|დაღლა|პოკერფეისი|მოწყენილობა|სერიოზულად|ნერვები|გაღიზიანებული|მოთმინებადაკარგული|დაღლილი,expressionless face|bored|bruh|expressionless|annoyed|sigh|seriously|flat|unimpressed|dull|poker face|face|meh|inexpressive|done|rigid|unexpressive|deadpan
😶,უპირებო სახე|დუმილი|სიტყვები არ მყოფნის|უასავლო|სათქმელი არაფერია|ჩუმად|უსიტყვოდ|შოკი|ხმას არ ვიღებ|პირის გარეშე|სიტყვების გარეშე|სიჩუმე,face without mouth|no mouth|silent|speechless|quiet|mute|silence|no words|face|mouth|blank
🫥,წერტილოვანი ხაზი|უხილავი|გაქრობა|დეპრესია|უხერხულობა|გავედი|აღარ ვარ|წერტილოვანი კონტური|დამალვა|უხერხული,dotted line face|invisible|disappear|hide|fading|mental health|disappearing|depressed|fade|awkward|bye|peace out|introvert
😶‍🌫️,ნისლში მყოფი|დაბნეული|არაფხიზელი|ნისლში|აზრზე არ ვარ|დაბოლილი|სად ვარ|დამალული|კვამლი,face in clouds|foggy|confused|hazy|in fog|lost|weed|absentminded|fog|face in the fog|high|smoke|head in clouds|hiding
😏,აჰა|ირონია|რიზი|ტო|ეშმაკური ღიმილი|ფლირტი|ჩათლახური ღიმილი|ორაზროვანი|სარკაზმი|ეშმაკური|ეგრეა|ცბიერი ღიმილი|თვითკმაყოფილი,smirking face|smirk|rizz|sarcasms|sly|flirt|wink|ironies|sarcastic|smug|suggestive|side eye|sus|face
😒,შური|უკმაყოფილო|მოწყენილი|ეჭვი|უნდობლობა|დავიღალე|ოფი|ნერვები მეშლება|აუუ|ეჭვიანი|გაღიზიანებული,unamused face|annoyed|unamused|whatever|envious|jealous|muttering|side eye|bored|meh|mood|ugh|skeptical|salty|smh|unimpressed|dislike|shut up|not amused|face|bruh|displeased|quarreling|unhappy|over it
🙄,თვალების გადატრიალება|ოჰ|მოწყენილობა|ირონია|ოჰ კაი რა|დავიღალე|აუ დაიწყო|ოფი|მობეზრება|სარკაზმი,face with rolling eyes|bored|whatever|ugh|annoyed|roll eyes|extra|rolling eyes|smh|sarcasms|sarcasm|seriously|eye roll|facepalm|eyeroll|basic|ironies|eyes|please|in-laws|again|face|sarcastic|rolling
😬,კრინჟი|დაძაბული სახე|შიში|უხერხულობა|დაკრეჭილი|უხერხული|კბილების გამოჩენა|ოპს|ვაიმე|დაკრეჭილი კბილები|ნერვიულობა,grimacing face|nervous|cringe|grimacing|awkward|grimace|anxious|oops|face|yikes|eek
😮‍💨,ამოოხვრა|დაღლილობა|შემსუბუქება|დაღლა|გადავრჩი|ძლივს|ოფი|შვება|ამოსუნთქვა,face exhaling|sigh|breathing|exhaling|relief|tired|exhale|exhausted|gasp|phew|groan|done|whisper|breath|whistle
🤥,ტყუილი|მატყუარა|პინოქიო|აბა რა|ფეიკი|ქაფი|ცხვირი,lying face|liar|cap|pinocchio|deceivers|liars|fake|dishonest|capping|face|lie|gaslight|lying|false
🫨,მიწისძვრა|კანკალი|მიწისძვრა სახლში|ვიბრაცია|შიში|შოკი|შერყევა|აკანკალებული სახე,shaking face|earthquake|shaking|shock|shocked|quaking|shocks|trembling|vibrating|vibrate|impressions|shivering|blurry|tingling|face|staggering|shook|sensing|tremble
😌,მშვიდი|კმაყოფილება|კმაყოფილი|ნეტარება|შვება|დასვენება|მედიტაცია|ნელ-ნელა|სიმშვიდე|მშვიდად|დაიკიდე|კაია|დამშვიდებული,relieved face|proud|relieved|calm|peaceful|satisfied|content|mood|relief|relaxed|whew|good|face|phew
😔,მოწყენილი|სევდა|დეპრესია|ვალი|ბოდიში|იმედგაცრუება|სევდიანი|ნაღვლიანი|ცუდად ვარ|დაღლა|ეჰ|დაფიქრებული|დარდიანი,pensive face|sigh|pensive|sad|sorrow|depressed|gloomy|dejected|broken|face|down
😪,ეძინება|დაღლილი|ცრემლი ცხვირზე|ნამტირალევი|ნამძინარევი|ცრემლი|ძილი|სევდა|დაღლა|მძინარე|ძილიანობა|თვლემა,sleepy face|tired|sleepy|exhausted|drool|sleep|sleepy tear|sad|bored|mood|face|nap|good night|drowsy
🤤,გემრიელი|ნერწყვი|მშია|შიმშილი|ნერწყვის დენა|სურვილი|გემრიელია|სექსუალური|გემო|ნერწყვმომდგარი,drooling face|hungry|drooling|bussin|satisfying|delicious|wanting|desire|want|desiring|tasting|drool|pizza|sexy|eating|face|appetizing
😴,ძილი|დაღლილი|მძინავს|ძილი ნებისა|ხვრინვა|დავიღალე|ღამე მშვიდობისა|ხრაპი|მეძინება|დაღლა|ბალიში|საწოლი|ტკბილი ძილი|მოსაწყენი|მძინარე,sleeping face|sleeping|sleepy|tired|sleep|zzz|snoring|weak|bed|pajamas|asleep|nap|bedroom|dreaming|bored|face|yawning|good night|boring|mood
😷,ხველა|სამედიცინო ნიღაბი|ნიღაბი|ავადმყოფობა|ოპერაცია|პირბადე|კოვიდი|ვირუსი|გრიპი|კორონა|ავადმყოფი|ექიმი,face with medical mask|mask|cough|ill|sick|coughing|medical mask|wheeze|illness|virus|viruses|flu|protecting|protectors|corona|smog|covid|cold|dentist|germ|germs|doctor|health|face
🤒,ავადმყოფობა|გრიპი|თერმომეტრი|სიცხე|ციებ-ცხელება|ცუდად ვარ|სუსტი|ავად ყოფნა|ავადმყოფი|წამლის აბები|გაციება|სისტემა გადასხმის|ხველა|სიცხიანი|ტემპერატურა,face with thermometer|sick|fever|ill|thermometer|cough|illness|lovesick|flu|infection|sickness|suffering|coughing|virus|viruses|bacteria|weak|germ|germs|face|flues|temperature|throat|disease
🤕,ტკივილი|ბინტი|თაბაშირი|თავი აკრული|ტრავმა|თავი მაქვს გახეთქილი|ცუდად|ნაბახუსევი|თავი მტკივა|დაცემა|თავდახვეული|დაშავებული,face with head-bandage|hurt|hurting|victims|ache|aching|bandaged head|casualties|injury|hungover|sufferers|pain|accident|throbbing|injured|face with head bandage|head bandage|hangover|bandage|headache|groaning|moaning|face
🤢,მჟავე|გულისრევა|ნაბახუსევი|პახმელია|მოწამვლა|მწარე|ცუდად ყოფნა|გული მერევა|დაბინძურება|ობის სოკო|ხველა|საშინელება|ტოქსიკური|ფუი|ავადმყოფობა|უშნო|ამაზრზენი|ავადმყოფი|ზიზღი,nauseated face|sick|dirty|molds|nauseated|sour|choking|hungover|mold|ooze|sickness|slime|bitter|disgusted|gross|disgust|nausea|spitting|stale|barf|ew|pollution|cringe|poison|toxic|vomit|face|smelling|green
🤮,საშინელება|პირღებინება|გულისრევა|გული მერევა|ცუდი|ღებინება|კრინჟი|რწყევა|ობის სოკო|ცუდად ყოფნა|ზიზღი|მოწამლული,face vomiting|sick|toxic|barf|vomiting|vomit|disgust|acid|hungover|purge|sickness|puke|throw up|vomiting face|gross|dirty|ew|trash
🤧,ალერგია|ცემინება|გრიპი|გაციება|სურდო|დაცემინება|ყვავილის მტვერი|ავადმყოფი,sneezing face|sneeze|sneezing|flu|sick|pollen|sniffle|cold|cough|achoo|tissue|sickness|face|allergy|gesundheit
🥵,ცხელი|მწარე|წყურვილი|სიცხე|ტენიანობა|მცხელა|ოფლი|სიცხე აუტანელი|სიცხისგან დაღლა|ცხელა|გაწითლებული|სექსუალური|ცხელი დღე|ვიწვი|ცეცხლი|დავიწვი|ციებ-ცხელება|ცხარე|ხის ჩრდილი|ოფლიანი|გადახურებული,hot face|hot|sweating|spicy|fever|thirsty|sweat|hazy|exhausted|humid|muggy|pant|sultry|sweaty|chili|choking|burn|heat|scalding|haze|hot sauce|stinging|wasabi|burning|boiling|sexy|feverish|cayenne|dripping|horseradish|heat stroke|geysers|south|lava|magma|roasting|overheated|red-faced
🥶,ყინვა|ცივი|მცივა|სიცივე|ყინვები|ცივა|ციმბირული სიცივე|გალურჯებული|ციებ-ცხელება|გავიყინე|ზამთარი|ეუფ|გავშეშდი|შიში|გაყინული|ყინული,cold face|cold|ice|shivering|freezing|numb|paralyzed|sheesh|ice storm|ice storms|trembling|drip|tingling|winter|frost|frosts|hoarfrost|beanie|rime|rimed|frozen|enduring|fever|scared|stiff|blue-faced|chill|shaking|frostbite|north|chilly|blizzard|blizzards|icicles
🥴,მთვრალი|დაბნეული|არაფხიზელი|ნასვამი|ნაბახუსევი|არეული|დაბოლილი|გაუგებრობა|თავბრუსხვევა,woozy face|drunk|stumbling|dizzy|staggering|woozy|tipsy|weird|groggy|intoxicated|tripping|crooked|hungover|wasted|mumbling|cranks|high|uneven eyes|wavy mouth
😵,თავბრუსხვევა|გაოგნებული|გათიშული|გათიშვა|შოკი|მკვდარი|სიკვდილი|მკვდარი ვარ,face with crossed-out eyes|dead|dizzy|shocked|dizzy face|passed out|knocked out|crossed-out eyes|face|fainted
😵‍💫,დაბნეული|ჰიპნოზი|თავბრუსხვევა|არეული თვალები|სად ვარ|გაუგებრობა|სპირალური თვალები|არეული,face with spiral eyes|dizzy|hypnotized|spiral eyes|confused|swirly eyes|lost|spiral|trouble|spinning|whoa
🤯,სტრესი|შოკი|გაოცება დიდი|გაოცებული|რთული|ტვინის აფეთქება|შოკში ვარ|გაოგნება|აფეთქება|მეშლება ნერვები|ნერვები|ვაუ|ტვინის ტყვნა|თავის აფეთქება|გაოცება|დაუჯერებელი,exploding head|shocked|mind blown|shock|mindblown|gasp|insane|madmen|lunatics|shocks|mind|wow|maniacs|psychos|amazing|blown|mess|shook|crazy|omg|boom
🤠,კოვბოი|შლიაპა|ველური დასავლეთი|სოფლელი|თავგადასავალი|ჰაი|შლაპა|ტეხასი,cowboy hat face|bandit|outlaw|renegade|sheriff|cowboy|rangers|cowgirl|country|ranger|outlaws|pioneer|prospectors|ranch|rancher|ranchers|sheriffs|hat|west|bandits|cowherds|saddler|archaeologist|steer|partner|partners|drovers|herdsmen|marshals|yeehaw|chaparral|horse|panners|face|wild west
🥳,დღესასწაული|წვეულება|გილოცავ|მხიარული|პარასკევი|გართობა|სიხარული|ბედნიერი|გახარებული|მიხარია|ძალიან კარგად|დაბადების დღე|პარტი|დვიჟენია|გულაობა|ზეიმი|მხიარულება,partying face|party|celebration|celebrate|excited|birthday|festival|congrats|happy birthday|block party|partying|enjoying|entertainers|entertaining|woohoo|balloon|hooray|yay|fans|streamers|winning|dance|dancing|hype|confetti|congratulations|party popper|payday|hat|woo|beer|cake|carnival|dancers|win|winners|year|horn
🥸,ნიღაბი|სათვალე და ულვაში|შენიღბვა|ინკოგნიტო|ყალბი|საიდუმლო|ვინ ვარ|შენიღბული|ულვაშები|სათვალე|დამალული,disguised face|disguise|disguised|mask|spy|moustache|incognito|glasses|fake|face|secret|mustache|nose
😎,მზე|სტილი|პრივეტ|დარწმუნებული|კაიფი|მოდური|სათვალე|სერიოზული|სიამაყე|სიმპატიური|კაი ტიპი|რიზი|მზის სათვალე|სვაგი|პონტი|მაგარი|არაჩვეულებრივად|ვაიბი|სიამაყე გამარჯვებით|სუპერ|ფლექსი|თავდაჯერებული|სტილური,smiling face with sunglasses|cool|sunglasses|sunny|sun|awesome|lit|chill|glasses|swag|vibe|badass|bet|sigma|smirk|bright|swagger|no problem|face|confident
🤓,ჭკვიანი|ნერდი|ბოტანიკოსი|სათვალე|ბოტანიკი|ინტელექტუალი|კითხვა|მკვლევარი|წიგნის ჭია,nerd face|smart|glasses|geek|nerd|smarting|clever|genius|geniuses|witty|actually|readers|face|intelligent
🧐,ეჭვი|მონოკლი|დაკვირვება|გამოძიება|ეჭვი შეტანა|დეტექტივი|სერიოზულად|ინტელექტუალი|ძიება,face with monocle|critic|monocle|thinking|smart|investigate|wealthy|examining|confused|rarely|classy|lowkey|skeptical|monocle face|curious|face|fancy|think|detective|intents|doubting|questioning|seriously|sus|suspecting|hmmm|stuffy|investigating
😕,დაბნეული|ეჭვი|გაურკვევლობა|გაურკვეველი|ხასიათი არ მაქვს|მოწყენილი|რავი|უკმაყოფილო|ეჭვიანი,confused face|confused|unsure|puzzled|meh|doubt|face|baffled|perplexed
🫤,სკეპტიკური|ირიბი პირი|მოწყენილი|უხერხული სახე|არ ვიცი|შეცბუნება|ნერვები|მეჰ|დიაგონალური პირი|დაბნეული|ეჭვი,face with diagonal mouth|disappointed|meh|skewed mouth|confused|unsure|skeptical
😟,შეშფოთებული|დარდიანი|ნერვიული|დარდი|ნერვიულობა|შიში|ცუდადაა საქმე|შეწუხებული|ღელვა,worried face|worried|worrying|nervous|concerned|anxious|quagmire|pacing|uneasy|face
🙁,მოწყენილი სახე|სევდა|მოწყენილი|ცუდია|წყენა|ოდნავ მოწყენილი|სევდიანი|უკმაყოფილო|მოღუშული,slightly frowning face|sad|slightly frowning|disappointed|frown|sad face|face
☹️,ძალიან მოწყენილი|ნაღვლიანი|სევდა|გულგატეხილი|ცრემლები|დეპრესია|მოწყენილი|სევდიანი|უკმაყოფილო|უბედური,frowning face|frowning|sad|unhappy|grief|frown|very sad|face|depressed|displeased|bad
